msa_name,nee_downscale_mean,nee_original_mean
"Buffalo-Cheektowaga, NY",0.53606284,0.53606284
"Burlington-South Burlington, VT",0.66392875,0.66392875
"Cape Coral-Fort Myers, FL",-0.3325061,-0.3325061
"Naples-Marco Island, FL",-0.33599475,-0.33599475
"Cape Girardeau, MO-IL",0.5488293,0.5488293
"Champaign-Urbana, IL",0.45540556,0.45540556
"Huntington-Ashland, WV-KY-OH",0.8545239,0.8545239
"Charleston, WV",0.97505003,0.97505003
"Hickory-Lenoir-Morganton, NC",0.41234323,0.41234323
"Charlotte-Concord-Gastonia, NC-SC",0.23470093,0.23470093
"Cleveland, TN",0.4631267,0.4631267
"Chattanooga, TN-GA",0.5781123,0.5781123
"Dalton, GA",0.4105848,0.4105848
"Kankakee, IL",0.40446386,0.40446386
"Chicago-Naperville-Elgin, IL-IN",0.3672093,0.3672093
"Kenosha, WI",0.39635667,0.39635667
"Michigan City-La Porte, IN",0.40441635,0.40441635
"Cincinnati, OH-KY-IN",0.58375496,0.58375496
"Cleveland, OH",0.49679396,0.49679396
"Sandusky, OH",0.34283638,0.34283638
"Canton-Massillon, OH",0.4877273,0.4877273
"Akron, OH",0.4762097,0.4762097
"Columbia, MO",0.5564312,0.5564312
"Jefferson City, MO",0.5723446,0.5723446
"Columbia, SC",0.12897258,0.12897258
"Sumter, SC",0.24594615,0.24594615
"Auburn-Opelika, AL",0.30462188,0.30462188
"Columbus, GA-AL",0.26555935,0.26555935
"Columbus, OH",0.5286694,0.5286694
"Corpus Christi, TX",0.44513842,0.44513842
"Dallas-Fort Worth-Arlington, TX",0.40553626,0.40553626
"Sherman-Denison, TX",0.38532162,0.38532162
"Davenport-Moline-Rock Island, IA-IL",0.45746514,0.45746514
"Springfield, OH",0.45980087,0.45980087
"Dayton-Kettering-Beavercreek, OH",0.49495664,0.49495664
"Boulder, CO",0.05698648,0.05698648
"Detroit-Warren-Dearborn, MI",0.38405815,0.38405815
"Monroe, MI",0.37141365,0.37141365
"Ann Arbor, MI",0.35763422,0.35763422
"Flint, MI",0.39148268,0.39148268
"Dothan, AL",0.12405395,0.12405395
"Duluth, MN-WI",0.49075487,0.49075487
"Eau Claire, WI",0.3510881,0.3510881
"Elmira, NY",0.8653126,0.8653126
"El Paso, TX",-0.037576213,-0.037576213
"Las Cruces, NM",0.013465338,0.013465338
"Erie, PA",0.5057313,0.5057313
"Evansville, IN",0.55305547,0.55305547
"Fargo, ND-MN",0.13177171,0.13177171
"Fayetteville, NC",0.10921565,0.10921565
"Pinehurst-Southern Pines, NC",0.13124001,0.13124001
"Florence-Muscle Shoals, AL",0.45135015,0.45135015
"Fort Wayne, IN",0.38095373,0.38095373
"Fresno, CA",-0.061987944,-0.061987944
"Hanford-Corcoran, CA",0.052428786,0.052428786
"Gainesville, FL",-0.36700317,-0.36700317
"Grand Rapids-Wyoming-Kentwood, MI",0.39368808,0.39368808
"Muskegon-Norton Shores, MI",0.47552022,0.47552022
"Green Bay, WI",0.45593193,0.45593193
"Winston-Salem, NC",0.39825785,0.39825785
"Burlington, NC",0.31453207,0.31453207
"Greensboro-High Point, NC",0.42117307,0.42117307
"Spartanburg, SC",0.27652827,0.27652827
"Greenville-Anderson-Greer, SC",0.33334616,0.33334616
"Greenville, NC",0.35351944,0.35351944
"Harrisburg-Carlisle, PA",0.67747265,0.67747265
"York-Hanover, PA",0.5650801,0.5650801
"Gettysburg, PA",0.5908275,0.5908275
"Lebanon, PA",0.61639446,0.61639446
"Staunton-Stuarts Draft, VA",0.6363073,0.6363073
"Harrisonburg, VA",0.6848212,0.6848212
"Hattiesburg, MS",0.038397837,0.038397837
"Hot Springs, AR",0.34463602,0.34463602
"Houston-Pasadena-The Woodlands, TX",0.109264076,0.109264076
"Huntsville, AL",0.48821765,0.48821765
"Decatur, AL",0.42607054,0.42607054
"Indianapolis-Carmel-Greenwood, IN",0.53697103,0.53697103
"Columbus, IN",0.6193239,0.6193239
"Muncie, IN",0.48923814,0.48923814
"Kokomo, IN",0.35465977,0.35465977
"Ithaca, NY",0.7535306,0.7535306
"Jackson, MS",0.33130026,0.33130026
"Jacksonville, FL",-0.65500396,-0.65500396
"Kingsport-Bristol, TN-VA",0.68965906,0.68965906
"Johnson City, TN",0.7904177,0.7904177
"Johnstown, PA",0.8788164,0.8788164
"Jonesboro, AR",0.6111735,0.6111735
"Joplin, MO-KS",0.36227053,0.36227053
"Kalamazoo-Portage, MI",0.39578563,0.39578563
"Battle Creek, MI",0.3825747,0.3825747
"Kansas City, MO-KS",0.49148262,0.49148262
"St. Joseph, MO-KS",0.57002085,0.57002085
"Lawrence, KS",0.42112285,0.42112285
"Kennewick-Richland, WA",0.15986615,0.15986615
"Walla Walla, WA",0.22052276,0.22052276
"Morristown, TN",0.32122195,0.32122195
"Knoxville, TN",0.63846457,0.63846457
"Lafayette, LA",0.2970162,0.2970162
"Lafayette-West Lafayette, IN",0.38148168,0.38148168
"Lake Charles, LA",0.20380178,0.20380178
"Lansing-East Lansing, MI",0.35250077,0.35250077
"Las Vegas-Henderson-North Las Vegas, NV",-0.10093122,-0.10093122
"Lawton, OK",0.17000061,0.17000061
"Lexington-Fayette, KY",0.50364804,0.50364804
"Lima, OH",0.38919473,0.38919473
"Lincoln, NE",0.51151645,0.51151645
"Little Rock-North Little Rock-Conway, AR",0.37524363,0.37524363
"Riverside-San Bernardino-Ontario, CA",-0.117322214,-0.117322214
"Los Angeles-Long Beach-Anaheim, CA",-0.33846888,-0.33846888
"Oxnard-Thousand Oaks-Ventura, CA",-0.42347914,-0.42347914
"Elizabethtown, KY",0.5437556,0.5437556
"Louisville/Jefferson County, KY-IN",0.52309155,0.52309155
"Lubbock, TX",0.1620355,0.1620355
"Warner Robins, GA",0.18545973,0.18545973
"Macon-Bibb County, GA",0.2915769,0.2915769
"Madison, WI",0.26757073,0.26757073
"Janesville-Beloit, WI",0.22532113,0.22532113
"Mankato, MN",0.18335558,0.18335558
"Mansfield, OH",0.36345935,0.36345935
"McAllen-Edinburg-Mission, TX",0.3545687,0.3545687
"Grants Pass, OR",0.13089165,0.13089165
"Medford, OR",0.16753766,0.16753766
"Memphis, TN-MS-AR",0.4808124,0.4808124
"Miami-Fort Lauderdale-West Palm Beach, FL",-0.23054399,-0.23054399
"Port St. Lucie, FL",-0.25841868,-0.25841868
"Sebastian-Vero Beach-West Vero Corridor, FL",-0.43529862,-0.43529862
"Odessa, TX",0.07266187,0.07266187
"Midland, TX",0.10767432,0.10767432
"Milwaukee-Waukesha, WI",0.38212594,0.38212594
"Racine-Mount Pleasant, WI",0.38980207,0.38980207
"St. Cloud, MN",0.17251395,0.17251395
"Minneapolis-St. Paul-Bloomington, MN-WI",0.24268158,0.24268158
"Daphne-Fairhope-Foley, AL",-0.015972963,-0.015972963
"Mobile, AL",0.002029828,0.002029828
"Monroe, LA",0.4692245,0.4692245
"Montgomery, AL",0.28823707,0.28823707
"Myrtle Beach-Conway-North Myrtle Beach, SC",0.09822225,0.09822225
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.515078,0.515078
"Hartford-West Hartford-East Hartford, CT",0.7383573,0.7383573
"New Haven, CT",0.64739084,0.64739084
"Waterbury-Shelton, CT",0.6940586,0.6940586
"Norwich-New London-Willimantic, CT",0.7694683,0.7694683
"Slidell-Mandeville-Covington, LA",0.09105101,0.09105101
"New Orleans-Metairie, LA",0.2234676,0.2234676
"Kingston, NY",0.8591409,0.8591409
"Trenton-Princeton, NJ",0.4657555,0.4657555
"Bridgeport-Stamford-Danbury, CT",0.7486137,0.7486137
"New York-Newark-Jersey City, NY-NJ",0.57455945,0.57455945
"Kiryas Joel-Poughkeepsie-Newburgh, NY",0.74375355,0.74375355
"Punta Gorda, FL",-0.40035537,-0.40035537
"North Port-Bradenton-Sarasota, FL",-0.34107992,-0.34107992
"Oklahoma City, OK",0.218097,0.218097
"Wildwood-The Villages, FL",-0.23054804,-0.23054804
"Lakeland-Winter Haven, FL",-0.30955592,-0.30955592
"Orlando-Kissimmee-Sanford, FL",-0.3559821,-0.3559821
"Deltona-Daytona Beach-Ormond Beach, FL",-0.6134827,-0.6134827
"Paducah, KY-IL",0.48621246,0.48621246
"Parkersburg-Vienna, WV",0.7514975,0.7514975
"Peoria, IL",0.43487012,0.43487012
"Dover, DE",0.42311803,0.42311803
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.45544913,0.45544913
"Atlantic City-Hammonton, NJ",0.40243077,0.40243077
"Vineland, NJ",0.39289406,0.39289406
"Reading, PA",0.5955469,0.5955469
"Phoenix-Mesa-Chandler, AZ",-0.0393183,-0.0393183
"Pittsburgh, PA",0.685445,0.685445
"Weirton-Steubenville, WV-OH",0.70222527,0.70222527
"Portland-South Portland, ME",0.6426541,0.6426541
"Lewiston-Auburn, ME",0.70221627,0.70221627
"Portland-Vancouver-Hillsboro, OR-WA",1.1096638,1.1096638
"Longview-Kelso, WA",0.52032065,0.52032065
"Albany, OR",0.4229163,0.4229163
"Corvallis, OR",0.35788503,0.35788503
"Salem, OR",0.3440966,0.3440966
"Pueblo, CO",0.021342305,0.021342305
"Durham-Chapel Hill, NC",0.38532534,0.38532534
"Raleigh-Cary, NC",0.2693153,0.2693153
"Redding, CA",0.04229435,0.04229435
"Reno, NV",-0.03238957,-0.03238957
"Carson City, NV",-0.028167477,-0.028167477
"Rochester, NY",0.51521856,0.51521856
"Rockford, IL",0.29742974,0.29742974
"Rocky Mount, NC",0.3080872,0.3080872
"Sacramento-Roseville-Folsom, CA",-0.010049281,-0.010049281
"Yuba City, CA",0.7336165,0.7336165
"Saginaw, MI",0.32311442,0.32311442
"Bay City, MI",0.29554015,0.29554015
"Midland, MI",0.5312999,0.5312999
"St. Louis, MO-IL",0.5317354,0.5317354
"Salisbury, MD",0.20570989,0.20570989
"Salt Lake City-Murray, UT",-0.092035614,-0.092035614
"Provo-Orem-Lehi, UT",-0.0209395,-0.0209395
"Ogden, UT",0.19629511,0.19629511
"San Antonio-New Braunfels, TX",0.19677907,0.19677907
"Stockton-Lodi, CA",0.05270469,0.05270469
"Merced, CA",-0.0819982,-0.0819982
"Modesto, CA",-0.07413691,-0.07413691
"San Francisco-Oakland-Fremont, CA",0.023868615,0.023868615
"Napa, CA",-0.12290788,-0.12290788
"Santa Cruz-Watsonville, CA",-0.57530594,-0.57530594
"San Jose-Sunnyvale-Santa Clara, CA",-1.8905561,-1.8905561
"Vallejo, CA",0.16293927,0.16293927
"Hinesville, GA",-0.44981232,-0.44981232
"Savannah, GA",-0.27556783,-0.27556783
"Bremerton-Silverdale-Port Orchard, WA",0.5826599,0.5826599
"Olympia-Lacey-Tumwater, WA",0.50982666,0.50982666
"Seattle-Tacoma-Bellevue, WA",0.4876847,0.4876847
"Mount Vernon-Anacortes, WA",0.47630063,0.47630063
"Shreveport-Bossier City, LA",0.12252366,0.12252366
"Sioux City, IA-NE-SD",0.41211239,0.41211239
"Niles, MI",0.3746207,0.3746207
"South Bend-Mishawaka, IN-MI",0.31298354,0.31298354
"Elkhart-Goshen, IN",0.31117895,0.31117895
"Spokane-Spokane Valley, WA",0.3800417,0.3800417
"Coeur d'Alene, ID",0.4066939,0.4066939
"Amherst Town-Northampton, MA",0.79739434,0.79739434
"Springfield, MA",0.7631571,0.7631571
"Springfield, IL",0.5289537,0.5289537
"State College, PA",0.89482504,0.89482504
"Syracuse, NY",0.6607812,0.6607812
"Tallahassee, FL",-0.33507675,-0.33507675
"Tucson, AZ",-0.04395529,-0.04395529
"Tulsa, OK",0.39163893,0.39163893
"Tyler, TX",0.3252442,0.3252442
"Victoria, TX",0.36644393,0.36644393
"Virginia Beach-Chesapeake-Norfolk, VA-NC",0.37358007,0.37358007
"Winchester, VA-WV",0.7112347,0.7112347
"Hagerstown-Martinsburg, MD-WV",0.60781693,0.60781693
"Lexington Park, MD",0.43042246,0.43042246
"Chambersburg, PA",0.6234237,0.6234237
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.5421986,0.5421986
"Baltimore-Columbia-Towson, MD",0.50786906,0.50786906
"Wausau, WI",0.37334365,0.37334365
"Wichita, KS",0.07673966,0.07673966
"Williamsport, PA",0.98282075,0.98282075
"Youngstown-Warren, OH",0.52307653,0.52307653
